;;;TOTAL;Trail La Capitana 250;Sonrisa de Rafa 500;Trail Álora 1000;Sierra Blaca 1000;Sierra Elvira 1000;Sierra Morena 250;Lújar 250;Montellano 500;Dúrcal 500;Ubrique 250;Jubrique 250;Mágina 250;Pinsapo 500;Los Tajos 1000;Ruta agua 1000;Casares 250;Camp Esp Trail 2000;Cam Esp CxM 2000;Alpandeire 250;Zegama 2000;Igualeja 250;La Sagra 1000;Calar alto 250;Coripe 250;Zenete 250;OCC 2000;CCC 2000;Guajares 500;Gador Dalias 500;Benemerita 500;Cazorla Trails 1000;Chamizo 250;Macael 1000;Pamital 250;Almijara 500;Abades 1000;Jarapalos 2000;Faraján 500;;;;;;
ABSOLUTO MASCULINO
32;Francisco Javier;Cantero Rio;310;0;0;0;0;0;0;0;0;0;0;0;0;300;10;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
33;JUANMI;BERZOSA;310;0;125;0;0;75;0;0;0;0;0;0;0;0;10;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
34;Jose Maria;Garrido Reyes;300;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
35;Amador;Perena Cabrera;300;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
36;Mario;Olmedo Sacha;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;;;;;;;;;;;;;;;;;
37;Ruben;Vigil Chacon;296;0;0;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
38;Manuel;Jimenez de Haro;295;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;250;0;20;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
39;Francisco Javier;Pazos Torres;283;0;0;0;0;10;0;0;0;0;0;0;0;0;10;0;0;0;0;250;0;13;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
40;Luis;Garcia Martin;275;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;125;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
41;Cesareo;Rios Romero;275;0;0;0;0;0;0;0;0;0;125;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
42;Miguel;Romero Gonzalez;262;0;0;250;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
43;Raul ;Ortiz Cabello;260;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;250;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
44;Miguel;Ratia Guerrero;250;0;0;0;0;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
45;David;Martinez Galindo;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;;;;;;;;;;;;;;;;;
46;Jose Manuel;Romero Barroso;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;;;;;;;;;;;;;;;;;
47;Esteban;Garcia Perandres;247;0;0;0;0;0;0;75;0;100;0;0;0;0;0;0;0;0;0;0;0;0;10;37;0;25;0;0;;;;;;;;;;;;;;;;;
48;Alfredo;Augustin Vilchez;240;0;0;0;0;10;0;0;0;60;0;0;0;0;0;10;0;0;0;0;0;0;10;0;0;150;0;0;;;;;;;;;;;;;;;;;
49;Raul;Guerrero Benitez;235;0;0;0;0;0;0;0;0;0;185;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
50;Abdelfatah;Dalal Jirari;225;0;100;0;0;0;0;0;0;0;0;0;0;0;125;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
51;Sebastian;Gomez Cerrejon;223;0;0;0;0;23;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
52;Sergio;Diaz Carretero;217;0;0;0;200;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
53;Antonio Joaquin;Martin España;210;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;200;0;0;0;0;0;;;;;;;;;;;;;;;;;
54;Alfonso;Sanchez Reina;200;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
55;Verdugo Ramon;Cabrera;200;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
56;Cristobal;Dominguez Sanchez;200;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
57;Francisco Javier;Rivera Lucena;199;75;0;0;19;0;87;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;;;;;;;;;;;;;;;;;
58;Vicente;Padilla Herrera;198;0;50;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;125;0;0;0;0;;;;;;;;;;;;;;;;;
59;Sergio;Valle Lopez;191;0;0;0;0;0;0;0;0;0;0;185;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
60;Jose Antonio;Bocanegra Alvarez;187;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;;;;;;;;;;;;;;;;;
61;Salva ;Olivas;185;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
62;Andres;Duque Jimenez;185;0;0;0;0;0;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
63;Gonzalo;Cuadrado Nuñez;185;0;0;0;0;0;0;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
64;Jonathan;Ponce De Leon;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
65;Antonio Alfonso;Ruiz Rojo;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185;0;0;0;0;;;;;;;;;;;;;;;;;
66;Adrian;Lopez Braojos;184;0;0;0;0;0;0;125;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;0;0;;;;;;;;;;;;;;;;;
67;Anotnio Javier;Cortes Ramos;177;0;0;0;0;0;0;0;0;0;0;0;0;175;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
68;David;Tejero Biggie;175;0;0;0;0;0;0;0;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
69;Miguel;Escobar;164;0;14;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
70;Manuel Alejandro;Dominguez Garcia;160;0;0;10;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
71;Dorian;Rivas;160;0;0;0;0;0;150;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
72;Armando;Zugasti Salado;155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;0;0;0;30;0;0;;;;;;;;;;;;;;;;;
73;Jose Luis;Perez Salas;153;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
74;Javier;Jimenez Dionisio;150;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
75;Cayetano;Garcia Tenorio;150;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
76;Miguel Angel;Mudarra Sanchez;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;;;;;;;;;;;;;;;;;
77;Abel;Serrano Muñoz;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;;;;;;;;;;;;;;;;;
78;David;Melero Sanchez;149;0;0;0;0;0;0;0;25;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;100;0;0;0;;;;;;;;;;;;;;;;;
79;ALBERTO;Rivera;144;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;125;0;0;0;0;0;;;;;;;;;;;;;;;;;
