;;;TOTAL;Trail La Capitana 250;Sonrisa de Rafa 500;Trail Álora 1000;Sierra Blaca 1000;Sierra Elvira 1000;Sierra Morena 250;Lújar 250;Montellano 500;Dúrcal 500;Ubrique 250;Jubrique 250;Mágina 250;Pinsapo 500;Los Tajos 1000;Ruta agua 1000;Casares 250;Camp Esp Trail 2000;Cam Esp CxM 2000;Alpandeire 250;Zegama 2000;Igualeja 250;La Sagra 1000;Calar alto 250;Coripe 250;Zenete 250;OCC 2000;CCC 2000;Guajares 500;Gador Dalias 500;Benemerita 500;Cazorla Trails 1000;Chamizo 250;Macael 1000;Pamital 250;Almijara 500;Abades 1000;Jarapalos 2000;Faraján 500;;;;;;
ABSOLUTO MASCULINO
140;Antonio;Rosa Trujillo;63;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
141;Miguel Angel;Lesdesma Muñoz;63;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
142;Juan Jose ;Vargas Gil;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
143;David;Martinez Torres;63;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
144;Alberto ;Gamez Fernandez;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;;;;;;;;;;;;;;;;;
145;Raúl;Pérez;60;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
146;IVAN ;Ramirez Barea;60;0;0;0;0;0;0;0;0;0;25;0;0;5;0;0;0;0;0;0;0;0;0;0;30;0;0;0;;;;;;;;;;;;;;;;;
147;Eduardo Jose;Espinosa Bustos ;55;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
148;Jose Manuel;Garcia Torres;54;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;4;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
149;Alejandro;Garzon Capilla;54;0;0;0;0;0;0;30;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;;;;;;;;;;;;;;;;;
150;Issac;Lian;50;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
151;Antonio;Diaz;50;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
152;Rafael;Caliz Gallardo;50;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
153;Luis;Padial Garcia;50;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
154;Jose Antonio;Marques Vilaplana;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
155;Antonio Rafael;Espinar Lopez;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;;;;;;;;;;;;;;;;;
156;Jorge ;Martinez De Ubago;49;25;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
157;Daniel;Luque Gonzalez;47;0;25;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
158;Jose Ignacio;Sanchez Delgado;47;0;0;10;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
159;Jose David;Aguilera Muñoz;47;0;0;0;0;10;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
160;Pedro Alfonso;Gonzalez Aranega;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;13;0;0;;;;;;;;;;;;;;;;;
161;Jose Manuel;Romero Dominguez;42;37;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
162;Manuel Jesus;Sanchez Cortabarra;40;0;0;10;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
163;Nael;Prieto Ruiz;39;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
164;Antonio Jose;Lupion Acosta;37;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
165;Ildefonso;Cozar Andrades;37;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
166;Jose David;Diaz Bernal;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
167;Francisco;Reyes Fernandez;37;0;0;0;17;0;17;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
168;Jose Manuel;Vera Perez;37;0;0;10;0;0;0;0;0;0;0;0;13;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
169;Evaristo;Salguero Sanchez;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
170;Tolo;Ingles Balaguer;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
171;Anasasio;Toro Bustos;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;2;0;0;0;0;25;0;0;0;;;;;;;;;;;;;;;;;
172;Roberto;Oliver Bolivar;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;;;;;;;;;;;;;;;;;
173;David;Pineda Tenes;36;0;5;0;0;0;0;0;0;14;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
174;Manuel;Romero;35;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
175;Jose Antonio;Rodriguez Diaz;35;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
176;Marcos;Montilla Roelas;35;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
177;Luis Miguel;Rodriguez Urbano;35;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;;;;;;;;;;;;;;;;;
178;Jesus;Herrera Cala;34;0;0;0;0;0;0;0;0;5;17;0;0;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
179;Jeus;Casillas Sevilla;33;0;0;0;23;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
180;Sergio;Hormigo Avalos;32;0;0;0;0;0;0;0;5;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;17;0;0;0;;;;;;;;;;;;;;;;;
181;Juan ;Guerrero Ochoa;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
182;Rafa;Garcia Pelaez;30;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
183;Antonio Jesus;Ruiz Romero;30;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
184;Antonio;Galiano Reyes;30;0;0;0;0;0;0;0;9;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
185;David;Alonso Russi;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
186;Juan Carlos ;Coello Sanchez;30;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
187;Mohamed;Lamin Larosi;29;0;0;0;0;10;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
188;Antonio;Herrera Delgado;29;0;0;0;18;0;0;0;0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
189;Francisco;Sanchez Bombarley;28;0;5;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
190;Pepe;Diaz Sanchez;27;17;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
191;Fernando;Arjona Cerrillo;27;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
192;Antonio Juan;Olmos Sanchez;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
193;Antonio Daniel;Moreno;25;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
194;Victor German;Diaz Osuna;25;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
195;Alejandro;Reina Algeciras;25;0;0;0;0;19;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
196;Javier;Lopez Villena;25;0;0;0;0;0;0;17;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
197;Manuel;Manso Camacho;25;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
198;Jose Carlos;Alonso Gil;25;0;0;0;20;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
199;Francisco Javier;Recio Portillo;25;0;0;0;10;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
200;Yusef Dris;Mohamed ;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
201;Angel;Grande Martinez;25;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
202;Adrian;Acevedo Garcia;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
203;Raul ;Garcia Aranejo;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;;;;;;;;;;;;;;;;;
204;Juan Jose;Blanco Sanchez;25;0;0;0;0;0;0;0;11;0;0;0;0;0;0;10;0;0;0;2;0;0;0;0;2;0;0;0;;;;;;;;;;;;;;;;;
205;Daniel;Persson;24;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
206;Manuel;Osuna Aguilera;24;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
207;Joel;Guerrero Ramirez;23;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
208;Francisco Vicente;Macia Garcia;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;;;;;;;;;;;;;;;;;
209;Juan ;Garcia Rodriguez;23;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;;;;;;;;;;;;;;;;;
210;Juan Diego;Aguilar Bravo;22;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
211;Ramon;Lopez Lobato;22;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
212;Jose Manuel;Grua Sanchez;22;2;0;0;15;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
213;Manuel;Santaella Cerero;22;0;0;0;0;0;0;0;12;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
214;Andres;Garcia Algarra;21;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
215;Victor;Almohano Gonzalez;21;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
216;Alfredo;Vila Sieira;20;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
217;Leopoldo;Pavon Puertas;20;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
218;Juan Jose;Barrera Jimenez;20;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
219;Jose Miguel;Roldan Cobos;20;0;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
220;Raul;Roca Mena;20;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
221;Jose Luis;Cabeza Rubio;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
222;Pedro;Espinosa Zurita;20;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
223;Francisco ;Rueda Aragon;20;0;0;10;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
224;German;Castillo Leal;20;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;;;;;;;;;;;;;;;;;
225;Chus;Alvarez Rodriguez;20;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;10;0;0;0;0;0;;;;;;;;;;;;;;;;;
226;Jose Antonio;Caballero Aceituno;19;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
227;Francisco Javier;Martinez Garrido;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;;;;;;;;;;;;;;;;;
228;Jacinto;Duran Rodriguez;19;0;0;0;0;0;0;0;5;0;0;0;0;0;0;10;0;0;0;2;0;0;0;0;2;0;0;0;;;;;;;;;;;;;;;;;
229;Mousaab;Hadout;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
230;Angel;Bejarano Garcia;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;;;;;;;;;;;;;;;;;
231;Armando;Clares Sanchez;17;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
232;Carlos;Chamorro Garcia;17;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
233;Roger;Martinez Navarro;17;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
234;Pablo;Jurado Aranda;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
235;David;Benitez  Dominguez;17;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
236;Jesus;Muñoz Garcia;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;;;;;;;;;;;;;;;;;
237;Alejandro;Albacete Ocaña;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;;;;;;;;;;;;;;;;;
238;Emilio ;Gines Morales;17;0;0;0;0;0;0;0;5;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2;0;0;0;;;;;;;;;;;;;;;;;
239;Antonio Jose;Osuna Correa;17;0;0;0;0;0;0;0;5;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2;0;0;0;;;;;;;;;;;;;;;;;
240;Juan Antonio;Machio Diaz;17;0;0;0;0;0;0;0;5;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2;0;0;0;;;;;;;;;;;;;;;;;
241;Pablo;Garcia Blancas;17;0;0;0;0;0;0;0;5;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2;0;0;0;;;;;;;;;;;;;;;;;
242;Rafael Francisco;Muñoz Moris;17;0;0;0;0;0;0;0;5;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2;0;0;0;;;;;;;;;;;;;;;;;
243;David;Rojas Blanco;16;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
244;Antonio;Mudarra Sanchez;16;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
245;Antonio;Ruiz Garcia;16;0;0;0;0;10;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
246;Carlos;Alonso Segura;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;;;;;;;;;;;;;;;;;
247;Fernando;Martinez Ortega;15;0;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
248;Jose Ignacio;Mingo San Idelfonso;15;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
249;Jose Antonio;Mesa Montero;15;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
250;Alfonso;Diaz Castilla;15;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
251;Jesus  ;Gutierrez Garcia;15;0;0;10;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
252;Desi;Matos Sanchez;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;;;;;;;;;;;;;;;;;
253;Antonio ;Lobato Cabezas;14;0;0;0;0;0;0;0;0;0;0;0;2;0;0;10;0;0;0;0;0;0;0;0;2;0;0;0;;;;;;;;;;;;;;;;;
254;Juan Manuel;Espinosa Dominguez;14;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;7;0;0;0;;;;;;;;;;;;;;;;;
255;Helder;Silva;13;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
256;Marcos;Moreno Millán;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
257;Antonio Jesus;Cano Borrego;13;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
258;Juan Francisco;Berlanga Rojas;13;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
259;Rafael;Cabello Gil;13;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
260;IVAN ;Lorite Soto;13;0;0;0;0;0;0;8;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
261;Raul;Garcia Rojano;13;0;5;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
262;Miguel;Vera Jimenez;13;0;0;0;0;0;0;0;0;0;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
263;Rafael;Medina Fillot;13;0;0;0;0;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
264;Antonio Javier;Gonzalez Serrano;13;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;;;;;;;;;;;;;;;;;
265;Rafael;Gonzalez Zafra;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;;;;;;;;;;;;;;;;;
266;Juan Santiago;Marquez;12;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
267;Daniel;Martin Verdugo;12;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
268;Francisco;Baena Gallego;12;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
269;Alejandro;Perez Ecija;12;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
270;Manuel;Palacios Gil;12;0;0;0;10;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
271;Isaac;Lain Caballero;12;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
272;Víctor;Lobaton Lagostena;12;0;0;0;10;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
273;Natalio;Cruz Acebedo;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2;0;0;0;;;;;;;;;;;;;;;;;
274;Daniel;Rangel;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
275;Francisco Javier;Arjona Espinar;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
276;Moises;Gallardo Chicano;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
277;Cristobal;Rodrigues De Dios;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
278;Ismael;Delgado Pastrana;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
279;Diego;Chacon Martinez;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
280;Ahmed;Mohamed Karroum;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
281;Jose Ignacio;Perez Lago;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
282;Rafa;Bergillos;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
283;Sebastian;Palma Villanueva;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
284;Jose Maria;Callado Zafra;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
285;Juan Antonio;Vera Garcia;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
286;Juan Manuel;Del Moral Parra;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
287;Ruben;Ariza Trujillo;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
288;Joaquin;Ruiz Berenguer;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
289;Oliver;Vega Miranda;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
290;Cristobal;Gutierrez Fernandez;10;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
